,Tweets
98,"RT @geraldhiras: Congrats LEXICONCERT Jakarta SANGAR! @isyanasarasvati 

Terharu juga setelah hampir tiga tahun rilis, terlibat sebagai pro…"
99,"RT @322irl: ""Madness"" kata yang paling cocok untuk menggambarkan #LEXICONCERT kemarin. 

Aksi panggung @isyanasarasvati bener2 lepas dan ea…"
100,"RT @NarasiNewsroom: Setelah dua tahun tertunda karena pandemi, LEXICONCERT, konser @isyanasarasvati akhirnya digelar dengan penuh kejutan d…"
101,"#LEXICONCERT JAKARTA UNLOCKED! SEE YOU BANDUNG, 10 JUNI 2022!"
102,"RT @antoarief: Ternyata sesuai ekspektasi dashyat banget! Bagaikan nonton konser metal. Wajib manggung di @hammersonicfest ini sih. 

Selam…"
103,RT @dukeofmalang: Gilaaa LEXICONCERT nya @isyanasarasvati pecah paraaah! Ga main-main semua genre musik dilibas ama Isyana. Nyesel kemarin…
104,"RT @shiraheez: untuk hati yang terluka. 🌹 
#LEXICONCERT in Jakarta. @isyanasarasvati https://t.co/gi2SznGVVK"
105,RT @susvitadwir: Konser live dengan kualitas musik yang sinting dikawinin visual dan lighting yang sadis bgt. Best concert I’ve ever seen…
106,RT @susvitadwir: thanku kak inyonk @isyanasarasvati and tuttis udh bikin konser yang gubrak gebyar sedikit asolole dan megah dwar dwar dwaa…
107,RT @RaiNathania: Slay guuurl @isyanasarasvati https://t.co/t4zsXtCdBG
108,RT @susvitadwir: @isyanasarasvati Konser paketan lengkap yg ga heweh dan tetap #lucuterus gokil!!!!! https://t.co/FSl24OMVyM
109,RT @RaiNathania: Si kocyak @isyanasarasvati https://t.co/Z2wl6ym9Pg
110,"RT @RaiNathania: 03062022 @isyanasarasvati fancams at #LEXICONCERT Jakarta

⚠️WARNING: VERY LOUD https://t.co/RMmxBDm0Hm"
111,RT @local_gnome: Lexiconcert was really amazing yesterday! The lighting and sounds were 🤯🤩. Best offline concert I've attended so far (tho…
112,"RT @gilang_jatnika: Alhamdulillah, tadi malam bisa terobati nonton konser lagi setelah pandemi. 
Berangkat dari sukabumi, terbayar lunas de…"
113,"RT @anditasss: Lexiconcert got me goosebump!
its been 2years and im still soooo in love with this album.
Thankyou for this super amazing sh…"
114,"RT @deyjwy131: 220603 FINALLY BISA NGEGIGS LAGI 😭
@isyanasarasvati #LEXICONCERT https://t.co/BOq0NmkHt5"
115,RT @cawiiir_: Keren banget isyana konser nya semoga lancar konser di kota selanjutanya @isyanasarasvati #lexiconcert https://t.co/eYsBy0kTOf
116,RT @northerrnnlight: So happy today🥰 the definition of blessed by the best😇 #Lexiconcert @isyanasarasvati https://t.co/0aKIsbVR8v
117,"RT @srdwpa: WHAT A CONCERT!!!
@isyanasarasvati #LEXICONCERT https://t.co/oSmuJxSTJJ"
118,"RT @bugubugupang: 03.06.2022

LEXICONCERT @isyanasarasvati 💗 https://t.co/T1Aar3kEAv"
119,RT @yanuariant: 🔥🔥🔥 teh @isyanasarasvati #Lexiconcert https://t.co/K2IcxgXFC8
120,"RT @chaind27: What a genius, the riff, the composition, the energy, the transition, the voice. @isyanasarasvati 😭😭😭 https://t.co/VUm3PtSb3g"
121,"RT @letitflow13: GOKIL konser @isyanasarasvati lexiconcert pecah bagus bangettt💯🤯 Performance, visual stage, live band the tutis semua perf…"
122,RT @iyasmawardi: There's no word can describe how amazing @isyanasarasvati and The Tuttis this night. You Rock! 🤟🤟 https://t.co/6wmbdrlCBP
123,RT @__aih: Hatur nuhun neng iis @isyanasarasvati jeder pisan malam ini 🙌🏻 https://t.co/GNEDykcGZm
124,RT @chaind27: Wah asli amazing you are incredible top notch @isyanasarasvati https://t.co/Z8vpv6SYzw
125,"RT @sarasniyyh: Ga tau ini nonton apa ya merinding dr awal sampe akhir 😭 mbaaak @isyanasarasvati kamu orang gilaaaaak!!!!! 🤟❤️❤️❤️
#Lexicon…"
126,"Yang mau mudik mana nih suaranyaaa?

Seneng ya lebaran kali ini udah bisa
#KembaliSilaturahmi kaya di MV lagu Aluna… https://t.co/aEvFQt0ci1"
127,ARE YOU READY FOR #LEXICONCERT ? 😈 https://t.co/Ld9ABZwl0c
128,Terima kasihhh udah nonton kemarin! Yang belum nonton #Collabonation Konser Silaturahmi Ramadan masih bisa di Youtu… https://t.co/3rNdX74E8m
