,Tweets
81,"RT @hany_pin: Haduh capek! Bagus bgt! Sayang bgt!!! @isyanasarasvati 
#LEXICONCERT https://t.co/cfSEBcZSSA"
82,"RT @feriqalenist: Prima!

@isyanasarasvati
#LEXICONCERT 
Semarang, 17 Juni 2022 https://t.co/BshkAt7jiQ"
83,"RT @CPrastica: Lexiconcert konser pertama kali setelah pendemi, dan woy gilak woy sangat sangat 🔥 sampai ketemu di konser2 selanjutnya @isy…"
84,"RT @zarskuyy: #LEXICONCERT #lexiconcertsemarang 
PETJAHHHHHHHH BESTT CONCERT, SEE YAAAA @isyanasarasvati ❤️ https://t.co/WdqgAPe4t9"
85,RT @hookspaceID: 10 TIKET GRATIS NONTON @isyanasarasvati  DI SEMARANG BUAT EDITAN YANG PALING KOCAK. YUK MINLUV TUNGGU SAMPAI JAM 3 SORE. #…
86,RT @chaind27: Kali ini cuma sempet record intronya energy dari My Mystery terlalu kuat bikin ga tahan pengen ikutan headbang dan teriak2 #L…
87,RT @chaind27: Di tengah2 lagu @isyanasarasvati tiba2 ilang dr panggung seakan mic yang dia pegang itu sebuah portkey. Terus tiba2 muncul dq…
88,"RT @TOLEKOBRA: Udah lama ngefans, cuman sejak nonton lexiconcert statusku berubah jadi ngefans banget anjeng!!!!! @isyanasarasvati gelo lah…"
89,"RT @syaidah2003: Hatur thank you #LEXICONCERT nya 🖤🙏SERUU pisan ASLI, konser paling GELOO paling EDANN!! @isyanasarasvati https://t.co/dYDK…"
90,"RT @mintyicy: pecah banget lexiconcert!! ga puas karna durasinya cuma 2 jam, ga kerasa huhu tau tau beres saking menikmatinyaa. luv kocanpi…"
91,"RT @siskakomaladw17: ""Istri Dokter tapi tetap dalam jiwa Isyanation""🖤

opening yang askhgdfhkhh bgt🔥🔥 @isyanasarasvati #LEXICONCERT https:/…"
92,"RT @siskakomaladw17: entah dah berapa lama ga ketemu, akhirnya semalem bisa nonton konser isyan lg🤗🖤

see u next gigs👋🏻🔥 @Isyanation_Bdg  @…"
93,RT @ditlicate: #LEXICONCERT @isyanasarasvati you’re the best. I LOVE YOU! 🫶🏻 https://t.co/2Q5wH6ETSO
94,RT @ClassicRockMag: Vote for @isyanasarasvati's My Mystery as your Track Of The Week: https://t.co/WNhy8JriJj https://t.co/IqI2hLi8eQ
95,"WOWW my new song recently got featured in @ClassicRockMag thank you so much, it’s a true honor!❤️‍🔥

https://t.co/kbOKkNHxig"
